Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login_001,Chrome 121.0.0.0,,,26-01-2024 03:16:56,26-01-2024 03:17:13,17.542s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login_001,Chrome 121.0.0.0,,,26-01-2024 03:16:56,26-01-2024 03:17:13,17.331s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-01-2024 03:16:56,26-01-2024 03:16:59,2.287s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,26-01-2024 03:16:59,26-01-2024 03:17:03,4.785s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon.com. Spend less. Smile more/span_Sign in""))",Chrome 121.0.0.0,,,26-01-2024 03:17:03,26-01-2024 03:17:07,3.926s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""9912667488"")",Chrome 121.0.0.0,,,26-01-2024 03:17:07,26-01-2024 03:17:09,1.481s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,26-01-2024 03:17:09,26-01-2024 03:17:11,2.359s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Forgot your password_password""), ""WLLQQNs5EWZLJLX2thenaj8G2Ax0LCa1"")",Chrome 121.0.0.0,,,26-01-2024 03:17:11,26-01-2024 03:17:13,1.524s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,26-01-2024 03:17:13,26-01-2024 03:17:13,0.359s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-01-2024 03:17:13,26-01-2024 03:17:13,0.314s,PASSED
