Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_ValidateSearchFieldItem_002,Edge Chromium 120,,,26-01-2024 04:55:58,26-01-2024 04:57:04,1m - 6.648s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_ValidateSearchFieldItem_002,Edge Chromium 120,,,26-01-2024 04:56:15,26-01-2024 04:57:04,49.536s,PASSED
"openBrowser("""")",Edge Chromium 120,,,26-01-2024 04:56:15,26-01-2024 04:56:16,1.481s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Edge Chromium 120,,,26-01-2024 04:56:16,26-01-2024 04:56:21,4.412s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Edge Chromium 120,,,26-01-2024 04:56:21,26-01-2024 04:56:24,3.334s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""da vinci code"")",Edge Chromium 120,,,26-01-2024 04:56:24,26-01-2024 04:56:26,1.617s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 04:56:26,26-01-2024 04:56:30,4.140s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  da vinci code/select_All Departments        Arts  Crafts _135c92""), ""search-alias=electronics-intl-ship"", true)",Edge Chromium 120,,,26-01-2024 04:56:30,26-01-2024 04:56:33,2.810s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  da vinci code/input_Search Amazon_field-keywords""), ""Mobile phones"")",Edge Chromium 120,,,26-01-2024 04:56:33,26-01-2024 04:56:34,1.449s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  da vinci code/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 04:56:34,26-01-2024 04:56:43,8.458s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Mobile phones/select_Electronics        All Departments  _28d51a""), ""search-alias=aps"", true)",Edge Chromium 120,,,26-01-2024 04:56:43,26-01-2024 04:56:44,1.746s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Mobile phones/input_Search Amazon_field-keywords""), ""Washing Machines"")",Edge Chromium 120,,,26-01-2024 04:56:44,26-01-2024 04:56:46,1.490s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Mobile phones/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 04:56:46,26-01-2024 04:56:51,5.367s,PASSED
"setText(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Washing Machines/input_Search Amazon_field-keywords""), ""Wooden Tables"")",Edge Chromium 120,,,26-01-2024 04:56:51,26-01-2024 04:56:55,3.933s,PASSED
"click(findTestObject(""Object Repository/Amazon_ValidateSearchFieldItem_OR/Page_Amazon.com  Washing Machines/input_Search Amazon_nav-search-submit-button""))",Edge Chromium 120,,,26-01-2024 04:56:55,26-01-2024 04:57:04,8.542s,PASSED
closeBrowser(),Edge Chromium 120,,,26-01-2024 04:57:04,26-01-2024 04:57:04,0.691s,PASSED
