Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login_001,Edge Chromium 121,,,28-01-2024 05:25:09,28-01-2024 05:25:38,29.703s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login_001,Edge Chromium 121,,,28-01-2024 05:25:17,28-01-2024 05:25:38,21.528s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 121,,,28-01-2024 05:25:17,28-01-2024 05:25:20,2.971s,PASSED
Start setup action : setupTestCase,Edge Chromium 121,,,28-01-2024 05:25:20,28-01-2024 05:25:24,3.961s,PASSED
"openBrowser("""")",Edge Chromium 121,,,28-01-2024 05:25:24,28-01-2024 05:25:27,2.740s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Edge Chromium 121,,,28-01-2024 05:25:27,28-01-2024 05:25:30,3.715s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon.com. Spend less. Smile more/span_Sign in""))",Edge Chromium 121,,,28-01-2024 05:25:30,28-01-2024 05:25:33,2.548s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""9912667488"")",Edge Chromium 121,,,28-01-2024 05:25:33,28-01-2024 05:25:35,1.488s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Edge Chromium 121,,,28-01-2024 05:25:35,28-01-2024 05:25:37,2.317s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Forgot your password_password""), ""WLLQQNs5EWZLJLX2thenaj8G2Ax0LCa1"")",Edge Chromium 121,,,28-01-2024 05:25:37,28-01-2024 05:25:38,0.841s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Edge Chromium 121,,,28-01-2024 05:25:38,28-01-2024 05:25:38,0.467s,PASSED
closeBrowser(),Edge Chromium 121,,,28-01-2024 05:25:38,28-01-2024 05:25:38,0.301s,PASSED
Start tear down : tearDownTestCase,Edge Chromium 121,,,28-01-2024 05:25:38,28-01-2024 05:25:38,0.006s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 121,,,28-01-2024 05:25:38,28-01-2024 05:25:38,0.006s,PASSED
