Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login_001,Chrome 121.0.0.0,,,26-01-2024 03:36:03,26-01-2024 03:36:20,17.085s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login_001,Chrome 121.0.0.0,,,26-01-2024 03:36:03,26-01-2024 03:36:20,16.805s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,26-01-2024 03:36:04,26-01-2024 03:36:06,2.453s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,26-01-2024 03:36:06,26-01-2024 03:36:09,3.072s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon.com. Spend less. Smile more/span_Sign in""))",Chrome 121.0.0.0,,,26-01-2024 03:36:09,26-01-2024 03:36:14,5.319s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Email or mobile phone number_email""), ""9912667488"")",Chrome 121.0.0.0,,,26-01-2024 03:36:14,26-01-2024 03:36:16,1.204s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,26-01-2024 03:36:16,26-01-2024 03:36:18,2.236s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Forgot your password_password""), ""WLLQQNs5EWZLJLX2thenaj8G2Ax0LCa1"")",Chrome 121.0.0.0,,,26-01-2024 03:36:18,26-01-2024 03:36:19,1.170s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,26-01-2024 03:36:19,26-01-2024 03:36:20,0.492s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,26-01-2024 03:36:20,26-01-2024 03:36:20,0.437s,PASSED
